이름,선택과목,선택과목코드,총점,정답수,오답번호
김도현,생활과윤리,11,50,20/20,없음
이소윤,윤리와사상,12,49,19/20,12
박민성,한국지리,13,48,19/20,8
최예린,세계지리,14,47,18/20,"5, 15"
정재원,동아시아사,15,46,18/20,"8, 12"
강서영,세계사,16,45,18/20,"3, 12"
조현우,경제,17,44,17/20,"8, 12, 15"
윤수아,정치와법,18,43,17/20,"5, 8, 15"
임태윤,사회문화,19,42,16/20,"3, 8, 12, 15"
한지원,생활과윤리,11,40,16/20,"5, 8, 12, 15"
오준혁,윤리와사상,12,39,15/20,"3, 5, 8, 12, 15"
신예나,한국지리,13,37,15/20,"5, 8, 10, 12, 15"
배승민,세계지리,14,36,14/20,"3, 5, 8, 10, 12, 15"
홍지호,경제,17,34,13/20,"3, 5, 8, 10, 12, 14, 15"
장서아,정치와법,18,32,12/20,"3, 5, 8, 10, 12, 14, 15, 18"
