이름,선택과목,선택과목코드,총점,정답수,오답번호
김나연,물리학I,21,50,20/20,없음
이우진,화학I,22,49,19/20,18
박다은,생명과학I,23,48,19/20,12
최성훈,지구과학I,24,47,18/20,"8, 15"
정아린,물리학I,21,46,18/20,"5, 18"
강민우,화학I,22,45,18/20,"8, 12"
조하늘,생명과학I,23,44,17/20,"8, 12, 18"
윤재윤,지구과학I,24,43,17/20,"5, 12, 15"
임주하,물리학II,25,42,16/20,"3, 8, 12, 18"
한서율,화학II,26,40,16/20,"5, 8, 12, 15"
오태현,생명과학II,27,39,15/20,"3, 5, 8, 12, 18"
신유리,지구과학II,28,37,15/20,"5, 8, 10, 12, 15"
배진우,물리학I,21,36,14/20,"3, 5, 8, 10, 12, 18"
홍채린,화학I,22,34,13/20,"3, 5, 8, 10, 12, 15, 18"
장민규,생명과학I,23,32,12/20,"3, 5, 8, 10, 12, 15, 17, 18"
